TODATE,kVA,kVAR,kW
05:13,0.1031340361,-0.03236494586,0.0658999607
05:15,0.1030781791,-0.03242864087,0.06579754502
05:17,0.1032443792,-0.03242885694,0.06601804495
05:19,0.1030566916,-0.03258671612,0.06590015441
05:21,0.1081302091,-0.03242410347,0.06601435691
05:23,0.1031093523,-0.03236513957,0.06590036303
05:25,0.1031109169,-0.0322034806,0.0660142526
05:27,0.1144970804,-0.03242888674,0.06579805166
05:29,0.1147451624,-0.0323651433,0.06590037793
05:31,0.1030659825,-0.03220960498,0.06601776928
05:33,0.1030379459,-0.03237022832,0.06590466201
05:35,0.1031095684,-0.03230530396,0.06600842625
05:37,0.1142204553,-0.03230530396,0.06578466296
05:39,0.1033995673,-0.03235218301,0.06590440124
05:41,0.1029558554,-0.03219398111,0.06589395553
05:43,0.1031292826,-0.03235213459,0.06590429693
05:45,0.1030945033,-0.03252805397,0.06600832939
05:47,0.1030162498,-0.03230539709,0.06582172215
05:49,0.1030965671,-0.03242379054,0.0657921955
05:51,0.1030476391,-0.03242384642,0.06601384282
05:53,0.1031372398,-0.03236484155,0.06589975953
05:55,0.103097111,-0.03236490488,0.06589988619
05:57,0.1031505764,-0.03237019852,0.06590460986
05:59,0.1031367853,-0.03236007318,0.06589618325
06:01,0.1031303331,-0.03242462128,0.06579388678
06:03,0.1029661,-0.0321505107,0.06590566039
06:05,0.1030598432,-0.03236512467,0.06590033323
06:07,0.1030318812,-0.03214985132,0.06594082713
06:09,0.1084022969,-0.03214979544,0.06612534821
06:11,0.1148439869,-0.03192959726,0.06590421498
06:13,0.1028131917,-0.03192930296,0.06590361148
06:15,0.1029169187,-0.0323648341,0.06589974463
06:17,0.1028834283,-0.03213201463,0.06590422988
06:19,0.1030219868,-0.03214984387,0.06590429693
06:21,0.1029152274,-0.03220347315,0.06579270959
06:23,0.1141431332,-0.03220334277,0.06575597823
06:25,0.1153694466,-0.03198257461,0.06601356715
06:27,0.1181224957,-0.03192155808,0.06612254679
06:29,0.1161587536,-0.03198264539,0.06601370871
06:31,0.1097424328,-0.031982705,0.06601382792
06:33,0.1090610325,-0.03213657811,0.0658955276
06:35,0.1029040292,-0.03185969219,0.06578462571
06:37,0.1031490341,-0.03257206827,0.06590399146
06:39,0.1032423228,-0.03286667913,0.06601723284
06:41,0.1032858938,-0.03279224783,0.06590420008
06:43,0.1031953692,-0.03281028569,0.06568280607
06:45,0.1031014845,-0.03257194534,0.06590374559
06:47,0.10306032,-0.03243045881,0.06589347124
06:49,0.1031271219,-0.03258648887,0.06589969993
06:51,0.1031281948,-0.03280828148,0.0656773001
06:53,0.1031580269,-0.03258651495,0.06589974463
06:55,0.1031301618,-0.03264444321,0.06601388752
06:57,0.1032049656,-0.03258657083,0.06589986384
06:59,0.1030568779,-0.03242538869,0.06584919244
07:01,0.103206858,-0.03256884217,0.06567808241
07:03,0.4075816572,0.2243398726,0.1536195576
07:05,0.4071316421,0.2238413692,0.1537570506
07:07,0.1032410562,-0.03236484155,0.06589975953
07:09,0.1033154353,-0.03256855533,0.06612277776
07:11,0.103000395,-0.03249312937,0.06573986262
07:13,0.1031544134,-0.03244737163,0.06604511291
07:15,0.1029830649,-0.03259023651,0.06568311155
07:17,0.1029618755,-0.03230534494,0.06578473747
